amount,avgAmount,amountDeviationPercent,txnPerMinute,newDevice,countryMismatch,fraud
6684.72,4820,38.687136929460586,12,0,1,1
8364.18,4395,90.31126279863481,9,0,0,1
15339.42,1191,1187.9445843828717,3,0,0,1
10979.05,3689,197.61588506370288,11,0,1,1
13205.22,3335,295.95862068965516,8,1,1,1
13111.77,2179,501.7333639284075,3,1,0,1
8839.67,2346,276.7975277067349,11,0,1,1
4780.92,844,466.4597156398105,7,1,1,1
10503.22,4214,149.2458471760797,7,0,0,0
6018.72,3151,91.00983814662013,11,0,0,1
10984.45,1458,653.3916323731139,9,0,1,1
3469.19,2106,64.72886989553656,8,1,1,1
10186.66,4873,109.04288939051918,10,1,0,1
6024.03,2311,160.6676763305928,2,0,1,1
18522.91,4416,319.44995471014494,3,0,0,1
13852.42,2132,549.7382739212007,8,0,0,1
82.98,1106,92.49728752260398,12,1,0,1
5118.13,2624,95.05068597560977,5,0,1,0
606.53,2061,70.57108199902959,5,0,0,0
15423.91,1242,1141.8607085346216,11,0,1,1
1605.57,2019,20.47696879643388,7,1,1,1
15029.95,4702,219.6501488728201,6,0,0,1
18079.26,4778,278.38551695269985,8,1,0,1
11963.96,3103,285.5610699323235,1,1,1,1
7914.58,3419,131.48815443112022,7,0,1,0
16938.3,3742,352.6536611437733,10,0,0,1
3751.55,1007,272.54716981132077,3,1,1,1
9863.2,762,1194.3832020997377,8,1,0,1
17226.18,2639,552.7540735126943,11,1,0,1
19144.22,3954,384.17349519473953,2,1,0,1
5573.38,2023,175.5007414730598,10,1,0,1
862.32,3448,74.99071925754059,9,0,1,1
11255.49,4586,145.43153074574792,4,0,0,0
1437.22,4308,66.63834726090992,5,1,1,1
18796.93,4709,299.17031216818856,9,0,1,1
9342.81,261,3479.620689655172,5,1,1,1
18163.24,4403,312.5196456961163,8,1,0,1
459.47,4526,89.8482103402563,11,1,0,1
18172.58,3833,374.10853117662407,1,0,1,1
16594.41,3211,416.7988165680473,2,1,0,1
8279.41,3339,147.96076669661576,7,1,0,0
10961.73,718,1426.7033426183843,4,1,1,1
1697.46,3272,48.12163814180929,7,1,0,0
16401.09,525,3024.017142857143,8,0,0,1
16059.6,1408,1040.596590909091,2,0,1,1
9764.01,1597,511.39699436443334,2,0,0,1
12713.28,3700,243.6021621621622,2,0,0,1
1491.1,2620,43.087786259541986,2,0,0,0
8052.73,2804,187.18723252496432,1,1,1,1
8651.97,2789,210.21764073144493,8,0,0,1
7592.96,1543,392.09073233959816,11,1,1,1
2491.86,3831,34.95536413469068,7,1,1,1
16319.53,3326,390.6653638003608,4,1,1,1
8092.7,4631,74.75059382422803,9,0,0,1
15172.74,1683,801.5294117647059,9,0,0,1
10410.92,3980,161.58090452261305,7,0,1,1
13466.8,4226,218.66540463795553,2,0,1,1
7217.45,706,922.301699716714,4,1,1,1
9231.0,1269,627.4231678486998,8,0,1,1
18147.93,4916,269.1604963384866,1,1,1,1
18931.14,977,1837.68065506653,11,0,0,1
11349.68,3378,235.98815867377147,5,1,1,1
2674.45,2420,10.514462809917347,4,0,0,0
2502.49,1482,68.85897435897435,7,1,0,0
18053.08,1055,1611.1924170616116,8,1,0,1
16506.17,1924,757.9090436590436,6,1,1,1
3065.05,3323,7.762563948239537,3,0,1,0
10834.06,926,1069.9848812095033,3,1,1,1
5622.48,1441,290.1790423317141,10,0,0,1
6330.58,4359,45.23009864647855,12,0,0,1
10954.02,709,1444.9957686882933,6,1,0,1
4529.11,1470,208.10272108843537,10,0,1,1
6608.82,1317,401.80865603644645,3,0,0,1
9895.49,3610,174.11329639889198,4,1,1,1
15402.46,1359,1033.3671817512875,2,1,1,1
10423.31,539,1833.8237476808904,9,1,0,1
14242.16,4811,196.03325711910205,1,0,1,1
18538.45,1368,1255.1498538011697,12,1,1,1
18585.14,1568,1085.2767857142856,3,0,1,1
1022.95,2542,59.758064516129025,8,1,0,1
3689.93,2478,48.907586763518964,3,1,1,1
15384.47,4606,234.0093356491533,7,1,1,1
19479.03,3958,392.14325416877205,3,1,1,1
7269.6,1959,271.0872894333844,3,0,1,1
18185.15,242,7414.52479338843,1,1,0,1
7150.4,1219,486.5791632485644,8,0,0,1
3828.93,1525,151.0773770491803,12,1,1,1
19512.96,487,3906.7679671457904,3,0,1,1
16696.2,4364,282.58936755270395,6,0,0,1
15171.37,2707,460.449575175471,12,1,0,1
765.25,1932,60.39078674948241,6,1,0,0
3041.63,1530,98.79934640522876,3,1,1,1
740.85,1124,34.088078291814945,4,0,0,0
16906.03,1245,1257.9140562248995,11,0,0,1
8194.09,2456,233.63558631921825,9,1,0,1
1494.1,3204,53.36766541822722,8,0,1,1
3800.6,840,352.45238095238096,2,0,1,1
7854.8,4672,68.125,6,0,1,0
3139.72,3222,2.553693358162638,3,0,1,0
13592.26,2756,393.1879535558781,7,1,1,1
1624.5,3281,50.48765620237733,11,0,1,1
4567.13,4753,3.9105827898169556,5,0,0,0
13949.94,1125,1139.9946666666667,1,0,0,1
11628.35,3520,230.35085227272728,11,0,0,1
1427.19,2692,46.984026745913816,1,1,0,0
1485.81,2722,45.4147685525349,10,1,1,1
12422.26,1306,851.1684532924962,6,0,1,1
19624.88,1773,1006.8742244782854,9,0,1,1
10419.2,936,1013.1623931623933,1,1,1,1
19261.27,3579,438.17462978485617,8,1,1,1
8212.29,3735,119.87389558232935,9,1,0,1
12809.44,2469,418.8108545970029,3,1,0,1
13811.17,1472,838.2588315217392,6,0,0,1
1415.49,4651,69.56589980649323,4,0,1,0
10987.83,3899,181.81149012567326,6,1,0,1
2077.79,3976,47.741700201207244,3,1,0,0
19320.99,1545,1150.5495145631069,10,0,1,1
17318.05,3558,386.73552557616637,12,1,0,1
3010.69,1557,93.36480411046885,8,1,1,1
17205.05,527,3164.715370018975,7,1,0,1
6822.15,1179,478.63867684478373,11,0,1,1
550.35,3249,83.06094182825485,1,0,1,0
17734.38,2034,771.8967551622419,12,0,0,1
7128.54,1868,281.61349036402567,9,0,0,1
5017.91,3634,38.08227848101266,11,0,1,1
9518.79,1894,402.57602956705387,6,1,1,1
9108.5,4637,96.430882035799,11,0,1,1
15413.85,476,3138.203781512605,4,0,0,1
18717.34,2750,580.6305454545454,12,1,0,1
10020.36,3550,182.263661971831,4,1,0,1
4752.62,4468,6.370188003581018,9,0,1,1
12194.49,2767,340.71160101192623,4,0,1,1
1118.69,4550,75.41340659340659,1,0,1,0
11298.93,3140,259.83853503184713,8,1,1,1
12197.71,4921,147.8705547652916,1,1,1,1
1684.49,3251,48.18548139034144,10,1,0,1
1806.34,4126,56.220552593310714,5,0,1,0
763.69,3580,78.66787709497206,2,0,0,0
19949.93,4865,310.0705035971223,8,0,1,1
1047.7,3628,71.12183020948181,3,0,0,0
12761.82,4700,171.52808510638297,5,0,0,1
11713.83,4962,136.0707376058041,11,1,1,1
6048.49,3053,98.11627906976743,11,0,1,1
1665.45,3059,45.55573716900948,7,0,0,0
7093.21,4344,63.28752302025783,9,1,1,1
5526.56,3835,44.10847457627119,4,1,0,0
15923.57,3837,315.0005212405525,1,1,0,1
7337.97,4832,51.86196192052981,8,0,0,1
4128.81,3898,5.9212416623909805,3,1,0,0
1903.63,1262,50.84231378763868,8,0,1,1
17580.15,2601,575.8996539792388,10,1,0,1
7316.76,4763,53.61662817551963,12,0,0,1
2148.62,1767,21.59705715902659,1,1,0,0
7640.27,4336,76.20548892988931,8,1,1,1
15721.34,4694,234.92415850021305,12,1,1,1
5255.26,4526,16.112682280159085,12,0,1,1
16772.32,1456,1051.945054945055,7,1,1,1
2743.36,4618,40.59419662191425,7,0,1,0
6194.55,3828,61.82210031347963,2,0,1,0
9427.79,2163,335.8663892741563,10,1,1,1
5250.64,359,1362.5738161559889,11,0,0,1
9734.02,3708,162.51402373247035,10,0,1,1
1797.62,1213,48.196207749381685,6,0,0,0
4197.12,1111,277.77857785778576,3,0,0,1
2441.95,2318,5.347282139775661,8,1,0,1
16646.83,3622,359.60325786858095,6,1,1,1
18541.18,916,1924.1462882096068,7,1,0,1
11434.22,4734,141.53400929446556,2,0,1,0
5405.01,1408,283.8785511363636,12,1,1,1
15495.44,3174,388.19911783238814,4,1,0,1
2631.68,4782,44.96695943120034,6,1,1,1
12857.4,4548,182.70448548812664,10,0,1,1
5569.03,4221,31.93627102582326,12,0,0,1
312.29,691,54.806078147612155,4,1,1,1
11177.16,4320,158.73055555555555,11,0,1,1
12358.45,4152,197.65052986512526,1,0,1,1
3412.75,3663,6.831831831831832,7,1,0,0
19190.11,4388,337.3315861440292,4,0,1,1
7784.13,2955,163.4223350253807,1,0,1,1
4082.81,3623,12.691415953629587,5,0,1,0
1049.83,364,188.41483516483515,6,1,1,1
8381.97,3661,128.95301830101062,5,0,0,0
9159.02,4983,83.80533814970902,4,0,1,0
167.47,4007,95.8205640129773,6,0,1,0
5179.97,1124,360.8514234875445,7,1,1,1
3353.0,2338,43.41317365269461,3,0,1,0
16282.86,4484,263.1324710080286,7,0,0,1
16182.6,2127,660.818053596615,2,0,0,1
3223.52,3347,3.6892739766955485,12,1,1,1
2627.61,3538,25.731769361221023,7,0,1,0
14927.53,2762,440.46089790007244,8,1,1,1
998.11,2343,57.40034144259496,11,0,1,1
5519.92,3392,62.733490566037744,9,1,0,1
17909.35,1983,803.1442259203226,4,1,1,1
8801.75,1755,401.52421652421657,6,1,1,1
7974.87,4511,76.78718687652405,8,0,1,1
11951.32,3115,283.6699839486356,11,1,0,1
11441.16,4982,129.6499397832196,9,1,0,1
8871.27,1245,612.5518072289158,1,0,1,1
1520.29,1010,50.52376237623763,2,0,1,0
3177.61,1772,79.32336343115125,6,1,0,0
11206.68,3531,217.37977909940528,9,0,0,1
5078.94,2618,94.0007639419404,1,0,1,0
7502.29,4798,56.362859524802,2,0,0,0
17307.04,3888,345.13991769547323,1,0,1,1
11158.65,323,3354.69040247678,9,1,0,1
4506.21,1104,308.1711956521739,9,1,0,1
2239.58,361,520.382271468144,12,0,1,1
1696.28,2919,41.888317917094895,11,0,1,1
15874.01,3066,417.74331376386175,12,1,0,1
6392.42,1370,366.59999999999997,11,0,1,1
10839.04,3159,243.11617600506494,7,0,0,1
3353.66,1073,212.5498602050326,1,1,1,1
4097.96,584,601.7054794520548,4,0,0,1
17131.94,4700,264.50936170212765,1,0,0,1
7090.07,3290,115.50364741641337,7,0,1,0
19225.11,2099,815.9175797999047,12,1,1,1
9115.49,4210,116.51995249406176,11,0,1,1
9835.73,3656,169.02981400437636,3,0,1,1
12581.72,3374,272.9021932424422,5,0,0,1
11105.99,360,2984.9972222222223,9,1,0,1
2887.24,2077,39.010110736639376,11,1,1,1
11104.2,1033,974.9467570183931,7,1,1,1
18683.3,1359,1274.782928623988,8,0,0,1
3283.29,4312,23.85691094619666,10,1,0,1
1176.06,4500,73.86533333333334,6,0,0,0
12617.09,1009,1150.4549058473738,4,0,0,1
13161.0,3142,318.8733290897518,12,0,0,1
3056.09,1285,137.82801556420233,8,1,0,1
7175.68,2671,168.6514414077125,5,1,1,1
5911.07,1438,311.06189151599443,5,1,1,1
2033.2,1855,9.60646900269542,2,1,1,1
14547.56,4693,209.98423183464735,6,0,0,1
12780.33,4678,173.2007268063275,5,1,1,1
5172.89,2601,98.8808150711265,9,1,0,1
16011.69,599,2573.070116861436,11,1,1,1
11062.13,518,2035.5463320463318,11,0,0,1
5478.08,2081,163.2426717924075,6,0,1,1
3925.66,3546,10.706711787930058,2,1,1,1
19270.68,2731,605.6272427682168,12,0,1,1
10876.85,4759,128.55326749317084,6,1,1,1
5007.28,1315,280.7817490494296,4,1,1,1
13130.77,4317,204.16423442205235,6,1,1,1
16970.72,4183,305.7069089170452,11,0,0,1
8160.1,869,839.0218642117377,1,0,1,1
5473.24,401,1264.8977556109726,5,1,0,1
1894.47,1595,18.775548589341696,10,0,0,1
17913.42,1846,870.3911159263271,7,0,1,1
19263.3,277,6854.259927797834,12,0,1,1
1851.82,4441,58.3017338437289,4,0,0,0
5876.7,1806,225.3986710963455,10,0,1,1
2478.74,3087,19.703919663103346,9,1,0,1
11680.64,1961,495.6471188169301,10,1,1,1
18680.54,4675,299.58374331550806,1,0,0,1
2817.74,1998,41.02802802802802,11,0,0,1
5445.34,4463,22.010755097468074,9,0,1,1
6823.78,415,1544.2843373493974,6,0,0,1
15643.38,298,5149.456375838926,11,1,0,1
8553.7,4439,92.69430051813472,6,0,1,0
4916.98,2560,92.06953124999998,8,1,1,1
18340.76,3939,365.6197004315816,4,1,0,1
10643.37,642,1557.8457943925234,7,0,0,1
13412.05,4037,232.22813970770372,2,0,1,1
6440.79,4729,36.1977162190738,9,0,1,1
18790.08,2706,594.3858093126386,8,1,0,1
6593.61,2325,183.59612903225806,10,0,1,1
6947.29,4295,61.75296856810244,9,1,1,1
4975.0,3944,26.140973630831642,1,1,1,1
14148.78,1283,1002.7887763055339,12,0,1,1
1549.87,4828,67.89830157415079,6,1,0,0
14530.32,2617,455.2281238058846,4,0,0,1
12982.2,4969,161.26383578184746,9,0,1,1
5396.45,2668,102.26574212893553,11,1,1,1
3133.12,4546,31.07963044434668,10,0,0,1
217.23,835,73.98443113772456,8,1,1,1
3104.35,1148,170.41376306620208,8,0,0,1
11681.64,216,5308.166666666666,9,1,0,1
4860.85,2844,70.91596343178624,5,1,1,1
6661.5,3759,77.21468475658419,8,1,0,1
13180.71,4812,173.91334164588528,5,0,0,1
18684.55,671,2684.5827123695976,11,1,1,1
18102.95,2119,754.3157149598867,8,0,1,1
11252.06,2580,336.12635658914724,9,0,1,1
19423.3,3389,473.12776630274413,7,0,0,1
2483.54,4178,40.55672570607947,3,0,0,0
2286.78,1259,81.63463065925339,3,0,0,0
9806.75,4270,129.6662763466042,1,0,1,0
6726.87,2737,145.77530142491779,3,1,1,1
1681.91,716,134.9036312849162,10,0,1,1
2330.53,2365,1.4575052854122537,7,1,0,0
2896.15,3451,16.077948420747607,3,1,1,1
3975.81,442,799.5045248868778,2,0,0,1
893.67,1082,17.405730129390022,2,0,1,0
16906.34,531,3083.868173258004,12,0,1,1
8178.51,3830,113.53812010443865,3,0,0,0
6915.39,1935,257.38449612403105,2,1,1,1
17454.09,1465,1091.4054607508533,1,1,0,1
4595.35,1336,243.96332335329345,7,0,1,1
3645.94,3887,6.201697967584254,12,1,1,1
13143.19,4933,166.4340158118792,2,1,1,1
11872.36,1492,695.7345844504022,10,1,0,1
92.36,4598,97.99130056546326,1,0,0,0
6485.77,1432,352.9168994413408,2,0,0,1
14793.04,3900,279.30871794871797,8,1,1,1
919.66,761,20.84888304862023,3,0,1,0
9952.37,4300,131.4504651162791,8,1,0,1
9843.3,801,1128.876404494382,6,0,1,1
19593.1,3900,402.3871794871795,9,0,0,1
378.24,3819,90.09583660644148,11,0,1,1
5656.58,4015,40.886176836861765,6,1,0,0
7111.51,3616,96.66786504424779,1,0,0,0
6359.2,3626,75.37782680639823,6,1,0,0
3844.35,2688,43.01897321428571,6,1,1,1
16420.99,4297,282.15010472422625,1,0,0,1
2354.8,942,149.9787685774947,12,0,1,1
13064.98,4367,199.1751774673689,1,0,1,1
10709.91,2849,275.9182169182169,2,0,1,1
7161.39,3995,79.25882352941177,2,0,0,0
158.59,2923,94.57440985289087,3,1,0,0
166.74,4220,96.04881516587677,12,1,1,1
11879.99,3464,242.955831408776,5,1,0,1
10806.91,394,2642.8705583756346,8,0,1,1
10405.19,4757,118.73428631490437,7,0,0,0
10915.85,2029,437.99162148841793,12,0,1,1
9461.42,822,1051.0243309002433,6,1,1,1
4098.38,4676,12.352865697177071,5,1,1,1
11279.65,1326,750.6523378582201,7,1,0,1
1725.12,2444,29.414075286415713,5,0,0,0
2717.95,4070,33.21990171990172,9,1,0,1
14558.09,3572,307.56131019036957,5,1,1,1
18863.4,4454,323.51594072743603,6,1,1,1
6809.63,2373,186.9629161399073,4,0,1,1
18794.01,3138,498.916826003824,3,1,0,1
16516.45,1589,939.4241661422278,7,1,0,1
15004.19,4428,238.84801264679317,8,0,0,1
18437.82,1101,1574.6430517711171,4,1,0,1
19445.02,1610,1107.7652173913045,3,1,1,1
735.45,358,105.43296089385477,8,0,0,1
17057.72,4007,325.6980284502121,7,1,1,1
19671.57,4272,360.4768258426966,8,0,1,1
10664.2,3914,172.4629535002555,8,0,1,1
14103.33,836,1587.001196172249,10,1,1,1
8991.71,1394,545.0294117647057,11,0,0,1
8336.9,2701,208.659755646057,8,1,0,1
5595.47,4725,18.42264550264551,8,0,0,1
16052.87,3876,314.1607327141383,1,1,1,1
6128.54,3797,61.40479325783513,6,1,0,0
10170.47,4131,146.198741224885,3,0,0,0
1108.67,4805,76.92674297606659,12,0,1,1
3834.99,1576,143.33692893401013,1,1,0,0
11035.66,4885,125.90910951893552,7,1,1,1
17783.07,839,2019.555423122765,2,1,1,1
11660.65,255,4472.803921568628,1,1,0,1
9182.44,1867,391.82860203535085,9,0,0,1
14047.3,3152,345.6630710659898,5,1,1,1
1603.3,1649,2.7713765918738655,11,0,0,1
4394.63,874,402.81807780320366,3,0,1,1
11248.5,2556,340.0821596244131,10,0,1,1
12962.53,2579,402.61845676618844,9,0,0,1
5833.51,804,625.5609452736319,4,0,0,1
13463.67,3926,242.93606724401425,9,0,0,1
8442.61,3305,155.44962178517397,11,0,1,1
3328.83,701,374.8687589158345,8,0,1,1
14020.26,2393,485.8863351441705,11,0,0,1
16213.27,378,4189.224867724868,12,1,1,1
9425.17,1192,690.7021812080537,2,1,0,1
16051.54,2661,503.21458098459226,3,1,1,1
886.7,517,71.50870406189556,9,0,1,1
13753.19,1162,1083.5791738382102,11,0,1,1
1710.54,2749,37.77591851582394,12,0,1,1
18006.88,4499,300.24183151811513,11,0,1,1
8117.03,4996,62.470576461168925,7,0,1,0
10082.36,4096,146.1513671875,7,0,0,0
577.57,945,38.88148148148148,3,0,0,0
11220.35,275,3980.127272727273,6,1,0,1
4824.79,3430,40.66443148688047,5,1,1,1
2120.96,4065,47.82386223862238,7,1,1,1
12833.75,2275,464.1208791208792,6,0,0,1
4348.73,2294,89.56974716652134,3,0,0,0
19611.51,4069,381.9737036126812,3,1,1,1
7850.03,3740,109.89385026737968,2,0,0,0
17700.28,3620,388.9580110497237,3,1,1,1
14196.57,1288,1002.2181677018633,10,1,0,1
11183.82,2407,364.63730785209805,1,0,0,1
515.87,3954,86.95321193727871,2,0,1,0
4360.54,2697,61.68112717834631,12,1,1,1
14066.89,1270,1007.6291338582676,5,0,0,1
8238.48,4232,94.67107750472589,10,1,1,1
7795.67,4321,80.41356167553808,11,0,0,1
3068.8,2665,15.151969981238281,9,1,0,1
11452.22,4485,155.3449275362319,8,1,1,1
2446.8,4257,42.52290345313601,3,0,1,0
17198.18,709,2325.695345557123,5,0,1,1
3610.64,2814,28.30987917555081,4,0,1,0
260.19,4770,94.54528301886793,11,1,1,1
11928.03,2356,406.28310696095076,5,1,0,1
2470.9,4321,42.81647766720666,2,1,1,1
5063.7,4109,23.234363592114864,9,1,0,1
7074.56,1393,407.86503948313,1,1,0,1
8141.24,2474,229.07194826192398,5,0,1,1
11070.47,1450,663.4806896551723,6,1,1,1
14302.42,3002,376.42971352431715,10,1,0,1
6708.58,759,783.870882740448,9,0,1,1
7410.61,1386,434.67604617604616,9,0,1,1
11398.76,1139,900.7690956979808,9,0,0,1
7095.48,4067,74.46471600688467,10,1,1,1
15123.76,1282,1079.7004680187208,5,1,0,1
8449.67,3767,124.30767188744358,1,1,0,0
19914.19,4482,344.3148148148148,11,0,0,1
13732.69,4383,213.31713438284282,11,0,1,1
4288.82,4732,9.365595942519025,12,1,0,1
8863.66,589,1404.8658743633277,12,0,0,1
280.47,4767,94.11642542479547,6,0,0,0
6089.43,879,592.7679180887372,9,1,0,1
14940.91,3029,393.2621327170683,2,0,1,1
11222.75,2789,302.3933309429903,1,0,0,1
13563.72,2961,358.0790273556231,10,0,0,1
2275.68,2723,16.427469702533976,1,1,1,1
2427.9,552,339.8369565217391,11,1,1,1
19796.76,564,3410.0638297872338,7,0,0,1
993.39,4321,77.01018282804907,3,0,1,0
6305.74,4781,31.891654465592968,4,0,0,0
5119.04,2157,137.32220676866018,8,1,1,1
6781.35,4015,68.90037359900376,8,1,0,1
4089.72,4748,13.864363942712727,3,0,1,0
6334.61,991,539.2139253279515,4,1,0,1
13617.81,1862,631.3539205155746,2,0,1,1
6409.35,3411,87.9023746701847,2,1,1,1
6292.75,4032,56.07018849206349,3,1,0,0
10333.11,714,1347.2142857142858,8,1,1,1
2561.6,4865,47.34635149023638,5,1,1,1
